date,Canada,France,Germany,Italy,Netherlands,Spain,United States
2005-01-01,1173108598778.68,2192146403028.17,2893393187361.87,1864982261286.85,688133699635.797,1154667551775.88,13039197000000.0
2006-01-01,1319264809590.97,2317861544690.82,3046308753670.58,1958563654385.64,737593995289.411,1261846683275.29,13815583000000.0
2007-01-01,1468820407783.26,2655816911866.56,3484056680854.91,2222524108127.65,853499460872.552,1476746276854.51,14474228000000.0
2008-01-01,1552989690721.65,2926802941585.86,3808786022312.5,2417508414187.19,957901566041.406,1636115447612.5,14769862000000.0
2009-01-01,1374625142157.29,2700075882518.98,3479800820863.28,2209484319012.65,878954223140.234,1496587590847.66,14478067000000.0
2010-01-01,1617343367486.26,2646230027988.34,3468154343000.01,2144936254535.0,852464982433.335,1427989078916.67,15048971000000.0
2011-01-01,1793326630174.52,2870408553990.28,3824828563521.41,2306974020278.21,913140741332.687,1487568659241.25,15599732000000.0
2012-01-01,1828366481521.6,2683007095787.23,3597896500945.31,2097929495121.68,845689017065.625,1330994811670.31,16253970000000.0
2013-01-01,1846597421834.98,2816077607875.26,3808086291482.36,2153225581941.46,883951539006.669,1362186923157.65,16880683000000.0
2014-01-01,1805749878439.94,2861236112552.42,3965800686309.79,2173255507985.84,901556501756.467,1380244561361.96,17608138000000.0
2015-01-01,1556508816217.14,2442483452642.5,3423568450957.03,1845428048839.1,775743675302.734,1206164777553.12,18295019000000.0
2016-01-01,1527994741907.43,2470407619777.13,3537784107980.55,1887111188176.93,797163949289.885,1243015667917.12,18804913000000.0
2017-01-01,1649265644244.09,2588868323334.71,3763092263752.95,1970720904584.71,848233537845.884,1321754088818.83,19612102000000.0
2018-01-01,1725329192783.02,2781576320884.39,4052008447223.53,2099435266458.67,929733599796.862,1431642809327.06,20656516000000.0
2019-01-01,1743725183672.52,2722793515171.76,3957208055215.68,2019606796583.53,928903005576.469,1403496387686.27,21539982000000.0
2020-01-01,1655684730000.19,2647926055110.05,3940142541354.1,1907481094079.23,932560861701.17,1289783836971.21,21354105000000.0
2021-01-01,2022378748423.23,2966433692008.09,4348297440387.53,2179207773596.09,1054472123449.6,1461244901852.69,23681171000000.0
2022-01-01,2190411080134.32,2796302210398.84,4163596357879.39,2104067630319.46,1046540797548.64,1446498147749.03,26006893000000.0
2023-01-01,2173339670064.33,3051831611384.76,4525703903627.53,2304605139862.79,1154361305398.06,1620090734956.89,27720709000000.0
2024-01-01,2241253230970.34,3162079073495.78,4659929336890.62,2372774547793.12,1227543925316.41,1722745978335.16,29184890000000.0
